name,high_school,position,ht_wt,national_rank,position_rank,state_rank,recruit_score,college,year
Andre Mattison," Coolidge (Washington, DC)  ", PF , 6-8 / 210 ,496,137,2,0.8271,florida-atlantic,2009
Kadeem Coleby," Christian Life Center Academy (Humble, TX)  ", C , 6-9 / 225 ,283,36,26,0.8715,louisiana-tech,2009
Darius Redding," Amos P. Godby (Tallahassee, FL)  ", SG , 6-3 / 205 ,406,103,29,0.8458,louisiana-tech,2009
DeAndre Brown," Navarro College (Corsicana, TX)  ", PG , 5-11 / 160 ,80,15,15,0.7667,louisiana-tech,2009
Hassan Whiteside," The Patterson School (Olin, NC)    ", C , 6-11 / 210 ,3,2,1,0.9364,marshall,2009
DeAndre Kane," The Patterson School (Olin, NC)  ", SG , 6-4 / 190 ,8,2,5,0.8444,marshall,2009
Antonio Haymon," Rising Sun (North East, MD)  ", SF , 6-6 / 220 ,701,123,18,0.7667,marshall,2009
David Murray," Leeds  (Leeds, AL)  ", SG , 6-4 / 200 ,248,64,7,0.8872,middle-tennessee-state,2009
Jontaveous Sulton," Yazoo City (Yazoo City, MS)  ", SF , 6-7 / 195 ,256,45,3,0.8840,middle-tennessee-state,2009
Tavarres Jefferson," Ensworth (Nashville, TN)  ", PG , 5-9 / 190 ,356,65,10,0.8556,middle-tennessee-state,2009
James Gallman," Fulton (Knoxville, TN)  ", SG , 5-11 / 185 ,378,98,12,0.8493,middle-tennessee-state,2009
John David Little," Olive Branch (Olive Branch, MS)  ", PG , 6-3 / 180 ,501,98,5,0.8259,middle-tennessee-state,2009
Trevor Ottley," Garden City C.C.  (Garden City, KS)  ", C , 6-10 / 215 ,108,2,13,0.7667,middle-tennessee-state,2009
Rod Emanuel," Santa Fe Community College (Gainesville, FL)  ", SG , 6-2 / 175 ,120,29,20,0.7667,middle-tennessee-state,2009
James Washington," Indian Hills C.C. (Ottumwa, IA)  ", PG , 5-10 / 165 ,131,22,10,0.7667,middle-tennessee-state,2009
Jacob Holmen," Whitehouse (Whitehouse, TX)  ", PF , 6-8 / 205 ,395,105,31,0.8462,north-texas,2009
Richard Thomas," Garden City C.C.  (Garden City, KS)  ", SG , 6-4 / 185 ,93,23,11,0.7667,north-texas,2009
Josh Hicks," Mount Tabor (Winston Salem, NC)  ", PG , 6-2 / 185 ,300,51,18,0.8681,old-dominion,2009
Tamir Jackson," St Benedict's Preparatory School (Newark, NJ)  ", SG , 6-2 / 165 ,286,77,8,0.8713,rice,2009
Chris Eversley," Payton College Preparatory (Chicago, IL)  ", SF , 6-5 / 195 ,403,72,22,0.8458,rice,2009
Egheosa Edomwonyi," Hun School  (Princeton, NJ)  ", PF , 6-7 / 220 ,492,135,15,0.8271,rice,2009
A.J. Holland," Tuscaloosa County (Northport, AL)  ", PG , 6-1 / 155 ,533,109,10,0.8194,rice,2009
Gary Flowers," Chipola College (Marianna, FL)  ", PF , 6-8 / 215 ,2,1,1,0.9000,southern-mississippi,2009
Torye Pelham," Chipola College (Marianna, FL)  ", PF , 6-6 / 225 ,14,7,8,0.8556,southern-mississippi,2009
Pedro Maciel," St Stanislaus (Bay Saint Louis, MS)  ", PG , 6-0 / 170 ,643,138,8,0.7667,southern-mississippi,2009
Josimar Ayarza," San Luis Obispo (San Luis Obispo, CA)  ", PF , 6-8 / 230 ,751,197,67,0.7667,southern-mississippi,2009
Kendric Robinson," Southwest (San Antonio, TX)  ", PG , 5-11 / 175 ,343,61,29,0.8556,utsa,2009
Stephen Franklin," Carbon (Price, UT)  ", SF , 6-5 / 205 ,346,56,6,0.8556,utsa,2009
Dexter Fields," Olympia (Orlando, FL)  ", SG , 6-2 / 190 ,228,55,14,0.8903,alabama-birmingham,2009
Ovie Soko," Bethel (Hampton, VA)  ", SF , 6-8 / 210 ,363,60,19,0.8552,alabama-birmingham,2009
Robert Williams," St. Joseph (Saint Joseph, MI)  ", SG , 6-4 / 200 ,435,108,16,0.8427,alabama-birmingham,2009
Tony Criswell," Midwest City (Oklahoma City, OK)  ", PF , 6-8 / 190 ,545,151,6,0.8153,alabama-birmingham,2009
Jamarr Sanders," Northwest Florida State College (Niceville, FL)  ", SF , 6-4 / 205 ,90,25,19,0.7667,alabama-birmingham,2009
Heath Gameren," Hartnell College (Salinas, CA)  ", PG , 6-6 / 175 ,147,25,21,0.7667,alabama-birmingham,2009
Rashanti Harris," The Patterson School (Olin, NC)  ", C , 6-8 / 238 ,6,3,3,0.9009,utep,2009
Jordan Swing," Vestavia Hills (Birmingham, AL)  ", SF , 6-6 / 200 ,126,26,5,0.9438,western-kentucky,2009
William Green," Olympia (Orlando, FL)  ", PF , 6-6 / 180 ,200,57,12,0.8934,western-kentucky,2009
Cliff Dixon," Hutchinson C.C. (Hutchinson, KS)  ", PF , 6-10 / 215 ,9,5,1,0.8556,western-kentucky,2009
Caden Dickerson," Argyle (Argyle, TX)  ", PG , 6-4 / 185 ,448,83,38,0.8365,western-kentucky,2009
Jamal Crook," Bridgton Academy (Bridgton, ME)  ", PG , 6-3 / 175 ,745,160,4,0.7667,western-kentucky,2009
Lance James," Aiken (Aiken, SC)  ", PG , 5-10 / 205 ,347,64,5,0.8556,cleveland-state,2009
Anthony Wells," Shaker Heights (Cleveland, OH)  ", PG , 6-1 / 170 ,523,106,23,0.8208,cleveland-state,2009
Jared Cunningham," Union Christian Acamemy (Fort Smith, AR)  ", PF , 6-9 / 235 ,679,178,7,0.7667,cleveland-state,2009
Jason Calliste," Quality Education Academy (Winston Salem, NC)  ", SG , 6-2 / 175 ,140,38,7,0.9220,detroit,2009
John Hoskins," Conner Creek Academy - (Warren, MI)  ", PF , 6-9 / 205 ,465,126,17,0.8343,detroit,2009
Lamar Lee," Highland Community College (Freeport, IL)  ", PG , 6-0 / 170 ,68,13,5,0.7667,detroit,2009
Curtis Eatmon," Citrus College (Glendora, CA)  ", SG , 6-4 / 185 ,114,27,10,0.7667,detroit,2009
Drew Valentine," Sexton (Lansing, MI)  ", SF , 6-5 / 200 ,377,64,14,0.8493,oakland,2009
Louis Green," St. Joseph (Westchester, IL)  ", C , 6-9 / 240 ,485,55,27,0.8271,uic,2009
Bradley Birton," South Suburban College (Oak Forest, IL)  ", PF , 6-6 / 195 ,48,17,2,0.7667,uic,2009
Byron Pickens," Mineral Area C.C. (Park Hills, MO)  ", PF , 6-7 / 195 ,107,32,6,0.7667,uic,2009
Seth Evans," Seneca (Seneca, IL)  ", PG , 6-1 / 185 ,383,71,20,0.8493,wisconsin-green-bay,2009
Troy Snyder," Bolingbrook (Bolingbrook, IL)  ", SF , 6-6 / 175 ,398,68,21,0.8458,wisconsin-green-bay,2009
Derek Semanas," Laconia (Rosendale, WI)  ", SG , 6-3 / 175 ,466,115,5,0.8337,wisconsin-green-bay,2009
Clayton Heuer," Lincoln (Wisconsin Rapids, WI)  ", PF , 6-9 / 220 ,467,127,6,0.8337,wisconsin-green-bay,2009
Matt Smith," Whitewright (Whitewright, TX)  ", SF , 6-7 / 205 ,524,91,48,0.8208,wisconsin-green-bay,2009
Greg LeSage," Elizabethtown (Elizabethtown, KY)  ", PF , 6-8 / 235 ,710,188,5,0.7667,wisconsin-green-bay,2009
Lonnie Boga," McCluer (Florissant, MO)  ", SG , 6-3 / 190 ,453,111,8,0.8365,wisconsin-milwaukee,2009
Ja'Rob McCallum," Marion (Marion, IN)  ", PG , 6-1 / 168 ,459,87,16,0.8365,wisconsin-milwaukee,2009
Michael Tyler," Pratt Community College (Pratt, KS)  ", PF , 6-5 / 230 ,99,29,12,0.7667,wisconsin-milwaukee,2009
Tyler Koch," Winchester Community (Winchester, IN)  ", SG , 6-4 / 190 ,309,86,10,0.8618,wright-state,2009
Darian Cartharn," Canal Winchester (Canal Winchester, OH)  ", PG , 6-0 / 190 ,506,101,19,0.8240,wright-state,2009
Lamar McKnight," St Peter Chanel (Bedford, OH)  ", SF , 6-5 / 205 ,596,102,28,0.8083,youngstown-state,2009
Colin Nickerson," Waukegan (Waukegan, IL)  ", SG , 6-3 / 170 ,425,106,23,0.8427,fairfield,2009
Chris Pelcher," Albany (Albany, NY)  ", C , 6-9 / 240 ,405,46,11,0.8458,iona,2009
Rico Pickett," Miami Dade College (Miami, FL)  ", SG , 6-4 / 180 ,3,1,2,0.9000,manhattan,2009
Sam Prescott," Imhotep Institute (Philadelphia, PA)  ", SG , 6-3 / 185 ,426,107,13,0.8427,marist,2009
Anell Alexis," St. Thomas More (Oakdale, CT)  ", SG , 6-5 / 185 ,568,136,6,0.8111,marist,2009
Andre Gillette," Neumann Goretti (Philadelphia, PA)  ", PF , 6-8 / 220 ,370,98,10,0.8512,niagra,2009
Jamee Jackson," St Anthony (Jersey City, NJ)  ", PF , 6-8 / 215 ,431,116,13,0.8427,quinnipiac,2009
Dave Johnson," St. Mark's (Southborough, MA)  ", PG , 5-10 / 155 ,472,89,9,0.8333,quinnipiac,2009
James Johnson," Bishop Loughlin Memorial (Brooklyn, NY)  ", PG , 6-0 / 165 ,610,131,20,0.8009,quinnipiac,2009
Deontay Twyman," Polk State College (Lakeland, FL)  ", SG , 6-0 / 175 ,163,40,21,0.7667,quinnipiac,2009
Harold Washington," Gwynn Park (Brandywine, MD)  ", SG , 6-2 / 180 ,809,199,27,0.7444,quinnipiac,2009
Tevin Baskin," Trinity Catholic (Stamford, CT)  ", SF , 6-6 / 210 ,NA,NA,NA,NA,quinnipiac,2009
SirChristian Williams," Cleveland Heights (Cleveland, OH)  ", SG , 6-4 / 190 ,538,129,25,0.8177,rider,2009
Dara Nd-Ezuma," Life Center Academy (Burlington, NJ)  ", PF , 6-10 / 200 ,549,153,18,0.8115,rider,2009
Jeron Belin," Monroe C.C. (Rochester, NY)  ", SF , 6-7 / 195 ,148,39,6,0.7667,saint-peters,2009
OD Anosike," St Peters Boys (Staten Island, NY)  ", PF , 6-8 / 185 ,389,102,9,0.8491,siena,2009
Jonathan Breeden," Central Dauphin East (Harrisburg, PA)  ", PG , 6-0 / 165 ,462,88,15,0.8365,siena,2009
Denzel Yard," Franklin Lc (Philadelphia, PA)  ", PG , 5-11 / 160 ,553,114,16,0.8115,siena,2009
Zeke Marshall," McKeesport (Mckeesport, PA)  ", C , 6-11 / 210 ,40,6,3,0.9831,akron,2009
Danny McElroy," La Salle (Cincinnati, OH)  ", PF , 6-6 / 200 ,329,87,10,0.8559,bowling-green,2009
Luke Kraus," Findlay (Findlay, OH)  ", PG , 6-2 / 185 ,442,80,16,0.8396,bowling-green,2009
Darren Goodson," Aiken University (Cincinnati, OH)  ", SF , 6-4 / 185 ,575,100,27,0.8111,bowling-green,2009
James Erger," Princeton (Princeton, TX)  ", SG , 6-6 / 185 ,585,141,53,0.8111,bowling-green,2009
Milton Chavis," Word Of God Christian Academy (Raleigh, NC)  ", SG , 6-5 / 210 ,532,128,27,0.8208,buffalo,2009
Tony Watson," Palm Beach Gardens (Palm Beach Gardens, FL)  ", PG , 6-2 / 185 ,551,113,36,0.8115,buffalo,2009
K'allante Miller," Oak Park (Oak Park, MI)  ", SF , 6-5 / 170 ,297,50,9,0.8681,central-michigan,2009
Finis Craddock," Garland (Garland, TX)  ", PG , 6-0 / 165 ,375,69,30,0.8493,central-michigan,2009
Tyler Brown," North (Eau Claire, WI)  ", SF , 6-7 / 220 ,419,76,4,0.8427,central-michigan,2009
William McClure," Mattoon (Mattoon, IL)  ", PF , 6-7 / 225 ,651,169,33,0.7667,central-michigan,2009
Amir Rashad," Trinity Valley C.C. (Athens, TX)  ", PG , 5-9 / 165 ,70,14,12,0.7667,central-michigan,2009
Jamell Harris," Euclid (Euclid, OH)  ", PF , 6-8 / 210 ,334,88,11,0.8556,eastern-michigan,2009
Matt Balkema," Cousino Senior (Warren, MI)  ", C , 6-10 / 270 ,469,53,18,0.8333,eastern-michigan,2009
Quintin Dailey," Sheridan College (Sheridan, WY)  ", SF , 6-3 / 185 ,46,14,1,0.7667,eastern-michigan,2009
Jay Higgins," Hillsborough (Tampa, FL)  ", SF , 6-6 / 195 ,665,115,42,0.7667,eastern-michigan,2009
Robert Johnson," Bedford (Bedford, OH)  ", SF , 6-6 / 190 ,293,49,8,0.8681,kent-state,2009
Randal Holt," Bedford (Bedford, OH)  ", PG , 6-1 / 180 ,434,79,14,0.8427,kent-state,2009
DeAndre Nealy," Mott Middle College (Flint, MI)  ", PF , 6-6 / 210 ,657,170,23,0.7667,kent-state,2009
Justin Manns," Atkins (Winston Salem, NC)  ", C , 6-10 / 215 ,686,70,32,0.7667,kent-state,2009
Ian Pinckney," Motlow State Community College (Tullahoma, TN)  ", SG , 6-3 / 195 ,117,28,2,0.7667,kent-state,2009
Greg Avila," Harcum College (Bryn Mawr, PA)  ", PF , 6-5 / 220 ,158,47,1,0.7667,kent-state,2009
Allen Roberts," Middletown (Middletown, OH)  ", SG , 6-1 / 170 ,245,62,5,0.8872,miami-ohio,2009
Drew McGhee," North Ridgeville (North Ridgeville, OH)  ", C , 6-10 / 220 ,253,30,6,0.8872,miami-ohio,2009
Drew Kelly," Brentwood (Brentwood, TN)  ", PF , 6-7 / 240 ,388,101,13,0.8491,miami-ohio,2009
Orlando Williams," Princeton (Cincinnati, OH)  ", SG , 6-5 / 180 ,440,109,15,0.8396,miami-ohio,2009
Tony Nixon," Seton Academy (South Holland, IL)  ", SG , 6-4 / 180 ,225,54,14,0.8903,northern-illinois,2009
D.J. Cooper," Seton Academy (South Holland, IL)  ", PG , 5-9 / 165 ,202,33,11,0.8934,ohio,2009
Marquis Horne," Princeton (Cincinnati, OH)  ", SF , 6-6 / 185 ,304,52,9,0.8649,ohio,2009
James Kinney," Centennial (Champaign, IL)  ", PG , 6-1 / 150 ,432,78,24,0.8427,ohio,2009
Reggie Keely," Bedford (Bedford, OH)  ", PF , 6-8 / 230 ,544,150,26,0.8174,ohio,2009
Hayden Humes," Valparaiso (Valparaiso, IN)  ", SF , 6-7 / 200 ,400,70,14,0.8458,toledo,2009
Jordan Dressler," Rock Bridge (Columbia, MO)  ", PF , 6-8 / 205 ,418,109,6,0.8427,toledo,2009
Devin Russell," Start (Toledo, OH)  ", PF , 6-9 / 210 ,528,145,24,0.8208,toledo,2009
David Brown," Hononegah (Rockton, IL)  ", SG , 6-3 / 190 ,238,60,15,0.8903,western-michigan,2009
Nate Hutcheson," Linn-Mar (Marion, IA)  ", SG , 6-6 / 185 ,255,66,3,0.8840,western-michigan,2009
Austin Harper," Grand Haven (Grand Haven, MI)  ", PG , 6-2 / 181 ,321,57,11,0.8587,western-michigan,2009
Shayne Whittington," Lawrence (Lawrence, MI)  ", C , 6-10 / 225 ,512,56,19,0.8240,western-michigan,2009
Brandon Pokley," Clarkston (Clarkston, MI)  ", SG , 6-4 / 182 ,604,145,20,0.8052,western-michigan,2009
Jordan Prosser," Eureka (Eureka, IL)  ", PF , 6-8 / 210 ,201,58,10,0.8934,bradley,2009
Jake Eastman," Douglas S. Freeman (Richmond, VA)  ", SG , 6-4 / 195 ,312,87,16,0.8618,bradley,2009
Milos Knezevic," Liberty (Henderson, NV)  ", PF , 6-8 / 220 ,412,108,9,0.8431,bradley,2009
John Wilkins," Illinois Lutheran Schools (Crete, IL)  ", PF , 6-9 / 230 ,698,184,36,0.7667,bradley,2009
Ben Simons," Cadillac Senior (Cadillac, MI)  ", SF , 6-7 / 180 ,230,39,7,0.8903,drake,2009
Reece Uhlenhopp," Urbandale (Urbandale, IA)  ", PF , 6-7 / 216 ,289,74,4,0.8712,drake,2009
Aaron Hawley," Rogers (Rogers, AR)  ", SF , 6-7 / 195 ,402,71,3,0.8458,drake,2009
David Smith," Lake Forest (Lake Forest, IL)  ", SG , 6-3 / 190 ,474,118,26,0.8333,drake,2009
Seth Van Deest," Bettendorf (Bettendorf, IA)  ", PF , 6-9 / 205 ,591,159,8,0.8090,drake,2009
Colt Ryan," Batesville (Batesville, IN)  ", SG , 6-4 / 180 ,372,97,13,0.8497,evansville,2009
Derek Johnson," College Park (The Woodlands, TX)  ", PF , 6-7 / 210 ,479,131,41,0.8302,evansville,2009
Monie Hudson," Harrisburg (Harrisburg, IL)  ", PG , 6-0 / 185 ,642,137,32,0.7667,evansville,2009
Justin Clark," William Chrisman (Independence, MO)  ", SG , 6-5 / 175 ,197,46,5,0.8934,illinois-state,2009
Zeke Upshaw," University (Chicago, IL)  ", SG , 6-5 / 188 ,305,83,17,0.8649,illinois-state,2009
Terrance Johnson," St. Rita (Chicago, IL)  ", PG , 5-11 / 165 ,367,67,19,0.8521,illinois-state,2009
John Ekey," William Chrisman (Independence, MO)  ", PF , 6-7 / 180 ,473,129,9,0.8333,illinois-state,2009
Tony Lewis," Ellsworth C.C. (Iowa Falls, IA)  ", PF , 6-7 / 220 ,50,19,6,0.7667,illinois-state,2009
Austin Hill," Harrisburg (Harrisburg, IL)  ", SG , 6-1 / 205 ,777,191,42,0.7667,illinois-state,2009
Jon Ekey," William Chrisman (Independence, MO)  ", PF , 6-7 / 180 ,NA,NA,NA,NA,illinois-state,2009
R.J. Mahurin," Rockville Jr-sr (Rockville, IN)  ", SF , 6-8 / 200 ,366,61,12,0.8524,indiana-state,2009
Jake Odum," Terre Haute South Vigo (Terre Haute, IN)  ", PG , 6-2 / 160 ,481,90,17,0.8302,indiana-state,2009
Gabe Kindred," Worcester Academy (Worcester, MA)  ", PG , 6-0 / 170 ,456,86,8,0.8365,loyola,2009
Ben Averkamp," Germantown (Germantown, WI)  ", PF , 6-7 / 215 ,601,161,8,0.8052,loyola,2009
Terrance Hill," Coffeyville C.C. (Coffeyville, KS)  ", SF , 6-4 / 200 ,63,17,6,0.7667,loyola,2009
Lane Adams," Red Oak (Red Oak, OK)  ", SG , 6-4 / 185 ,233,57,4,0.8903,missouri-state,2009
Keith Pickens," Oakville Sr. (Saint Louis, MO)  ", SG , 6-4 / 190 ,530,127,10,0.8208,missouri-state,2009
Jerome Jones," Miller (Miller, MO)  ", SG , 6-5 / 200 ,542,131,11,0.8176,missouri-state,2009
Nafis Ricks," Johnson County (Mountain City, TN)  ", SG , 6-2 / 180 ,641,158,19,0.7667,missouri-state,2009
Jermaine Mallett," Marion Academy (Marion, AL)  ", SG , 6-4 / 217 ,648,160,14,0.7667,missouri-state,2009
Marc Sonnen," Tartan (Saint Paul, MN)  ", PG , 6-3 / 180 ,259,46,7,0.8809,northern-iowa,2009
Matt Morrison," Solon (Solon, IA)  ", PG , 6-1 / 170 ,543,112,7,0.8176,northern-iowa,2009
Antonio Jones," Coffeyville C.C. (Coffeyville, KS)  ", SG , 6-4 / 200 ,82,20,8,0.7667,northern-iowa,2009
Brian Conway," Bloom (Chicago Heights, IL)  ", SG , 6-3 / 180 ,731,179,39,0.7667,northern-iowa,2009
Quinton Doggett," Western Oklahoma State College (Altus, OK)  ", PF , 6-8 / 205 ,135,40,6,0.7667,southern-illinois,2009
Bobby Leek," Carl Albert State College (Poteau, OK)  ", SG , 6-5 / 205 ,145,35,9,0.7667,southern-illinois,2009
Chris Halvorsen," Henry Sibley Senior (Saint Paul, MN)  ", SF , 6-8 / 190 ,240,42,6,0.8903,valparaiso,2009
Tommy Kurth," Penn (Mishawaka, IN)  ", PG , 6-0 / 165 ,319,56,11,0.8587,valparaiso,2009
Matt Kenney," Mooresville (Mooresville, IN)  ", PG , 6-2 / 175 ,415,75,15,0.8427,valparaiso,2009
Ryan Broekhoff," Australian Institute of Sport (Canberra, SW)  ", SF , 6-6 / 190 ,423,77,6,0.8427,valparaiso,2009
Brandon Wood," Highland Community College (Freeport, IL)  ", PG , 6-3 / 180 ,159,27,13,0.7667,valparaiso,2009
Zach Bohannon," Linn-Mar (Marion, IA)  ", PF , 6-7 / 185 ,384,99,5,0.8493,air-force,2009
Ethan Michael," Toledo Christian Schools (Toledo, OH)  ", SF , 6-7 / 200 ,507,86,20,0.8240,air-force,2009
Wade Collie," Silverado (Las Vegas, NV)  ", SF , 6-6 / 190 ,650,112,12,0.7667,air-force,2009
Jordan Finn," Etiwanda (Rancho Cucamonga, CA)  ", SG , 6-4 / 165 ,684,167,63,0.7667,air-force,2009
DeShawn Williams," I.C. Norcom (Portsmouth, VA)  ", PG , 6-2 / 175 ,695,148,32,0.7667,air-force,2009
Donte Morales," Landstown (Virginia Beach, VA)  ", SF , 6-5 / 190 ,703,125,33,0.7667,air-force,2009
Jordan Jahr," Lake Travis (Austin, TX)  ", SF , 6-5 / 185 ,747,133,78,0.7667,air-force,2009
Sam Hicks," Liberty Christian School (Huntington Beach, CA)  ", PF , 6-9 / 230 ,393,104,39,0.8490,boise-state,2009
Mason Sawyer," West Jordan (West Jordan, UT)  ", PG , 5-9 / 175 ,647,139,10,0.7667,boise-state,2009
Westley Perryman," Monroe College (New Rochelle, NY)  ", SG , 6-2 / 180 ,96,24,4,0.7667,boise-state,2009
Daequon Montreal," College of Southern Idaho (Rogerson, ID)  ", PF , 6-8 / 215 ,156,46,5,0.7667,boise-state,2009
Trevor Williams," Denver Lutheran (Denver, CO)  ", C , 6-11 / 248 ,169,24,1,0.8997,colorado-state,2009
Greg Smith," Ralston (Omaha, NE)  ", SF , 6-6 / 200 ,298,51,1,0.8681,colorado-state,2009
Dorian Green," Lawrence (Lawrence, KS)  ", PG , 6-2 / 170 ,454,85,3,0.8365,colorado-state,2009
Pierce Hornung," Ralston Valley (Arvada, CO)  ", SF , 6-5 / 205 ,603,104,3,0.8052,colorado-state,2009
Greg Smith," Westwind Preparatory Academy (Phoenix, AZ)  ", C , 6-9 / 240 ,142,15,3,0.9219,fresno-state,2009
Jerry Brown," Convent Of The Sacred Heart (San Francisco, CA)  ", SF , 6-6 / 195 ,436,78,43,0.8403,fresno-state,2009
Garrett Johnson," Diamond Ranch (Pomona, CA)  ", SF , 6-5 / 180 ,516,88,48,0.8240,fresno-state,2009
Chris Jones," Westwind Preparatory Academy (Phoenix, AZ)  ", SG , 6-3 / 200 ,576,138,7,0.8111,fresno-state,2009
Steven Shepp," Allegany (Cumberland, MD)  ", PG , 6-1 / 175 ,801,173,26,0.7667,fresno-state,2009
Devonte Elliott," Paramount (Paramount, CA)  ", PF , 6-8 / 210 ,180,48,20,0.8965,nevada,2009
Marco Cukic," IMG Academy (Bradenton, FL)  ", PF , 6-9 / 250 ,420,110,30,0.8427,nevada,2009
Darrington Hobson," Carbon (Price, UT)  ", SF , 6-7 / 180 ,146,29,3,0.9130,new-mexico,2009
Jamaal Fenton," Chavez (Houston, TX)  ", PG , 5-8 / 160 ,186,30,18,0.8965,new-mexico,2009
Chad Adams," Highland (Albuquerque, NM)  ", SG , 6-5 / 190 ,211,51,2,0.8934,new-mexico,2009
Matt Staff," Memorial (Houston, TX)  ", PF , 6-8 / 200 ,401,107,33,0.8458,new-mexico,2009
Kawhi Leonard," Martin Luther King Jr. (Riverside, CA)    ", SF , 6-5 / 210 ,57,12,8,0.9782,san-diego-state,2009
Eric Lawton," West Valley (Hemet, CA)  ", PG , 6-1 / 160 ,158,22,18,0.9028,san-diego-state,2009
Chase Tapley," Sacramento (Sacramento, CA)  ", SG , 6-2 / 184 ,250,65,27,0.8872,san-diego-state,2009
Alec Williams," J Serra Catholic (San Juan Capistrano, CA)  ", SF , 6-5 / 230 ,380,65,37,0.8493,san-diego-state,2009
Malcolm Thomas," San Diego Scpa (San Diego, CA)  ", PF , 6-9 / 220 ,748,196,65,0.7667,san-diego-state,2009
Anthony Dixon," Hyde Park Academy (Chicago, IL)  ", SG , 6-5 / 185 ,470,116,25,0.8333,san-jose-state,2009
Aalim Moor," St. Mary's (Albany, CA)  ", PG , 6-2 / 183 ,535,110,53,0.8181,san-jose-state,2009
Joe Henson," Pasadena (Pasadena, CA)  ", PF , 6-8 / 250 ,554,154,54,0.8115,san-jose-state,2009
Anthony Marshall," Mojave (North Las Vegas, NV)  ", SG , 6-3 / 185 ,75,19,3,0.9714,unlv,2009
Carlos Lopez," Findlay Prep (Henderson, NV)  ", PF , 6-9 / 200 ,113,32,6,0.9502,unlv,2009
Justin Hawkins," Taft  (Woodland Hills, CA)  ", SG , 6-2 / 170 ,284,75,33,0.8715,unlv,2009
Nate Bendall," Salt Lake Community College (Salt Lake City, UT)  ", PF , 6-8 / 245 ,87,28,1,0.7667,utah-state,2009
Michael Dietz," Natrona County (Casper, WY)  ", SF , 6-7 / 185 ,333,55,1,0.8556,wyoming,2009
Amath M'Baye," Stone Ridge Christian (Merced, CA)  ", PF , 6-9 / 205 ,521,142,51,0.8215,wyoming,2009
Chase Hallam," Mesquite (Mesquite, TX)  ", SG , 6-5 / 200 ,476,119,40,0.8333,denver,2009
Jefferson Powers," De La Salle (Concord, CA)  ", SF , 6-8 / 200 ,597,103,56,0.8052,denver,2009
Mario Hines," Garfield Heights (Cleveland, OH)  ", PF , 6-8 / 215 ,360,95,13,0.8556,ipfw,2009
Antwone Snead," Lamar C.C. (Lamar, CO)  ", PF , 6-5 / 225 ,84,26,1,0.7667,ipfw,2009
Greg Rice," Ben Davis (Indianapolis, IN)  ", PG , 5-11 / 160 ,515,104,18,0.8240,iupui,2009
Josh Schuler," Graham (Saint Paris, OH)  ", SG , 6-2 / 180 ,609,147,29,0.8021,north-dakota,2009
Brandon Brekke," East Grand Forks Senior (East Grand Forks, MN)  ", SF , 6-7 / 216 ,632,110,14,0.7667,north-dakota,2009
Chris Clausen," North Iowa (Buffalo Center, IA)  ", SF , 6-6 / 215 ,793,140,12,0.7667,north-dakota,2009
Mike Felt," Redwood Valley Senior (Redwood Falls, MN)  ", PG , 6-2 / 185 ,508,102,11,0.8240,north-dakota-state,2009
Jordan Aaberg," Rothsay Secondary (Rothsay, MN)  ", PF , 6-8 / 210 ,547,152,13,0.8146,north-dakota-state,2009
Nate Zastrow," Manitowoc Lutheran (Manitowoc, WI)  ", PG , 6-0 / 145 ,619,135,10,0.7958,north-dakota-state,2009
Jake Thomas," St Catherines (Racine, WI)  ", SG , 6-3 / 185 ,541,130,7,0.8177,south-dakota,2009
Dustin Tetzlaff," Watertown - 01 (Watertown, SD)  ", SF , 6-7 / 205 ,552,94,2,0.8115,south-dakota,2009
Cliff Warner," Pella Christian (Pella, IA)  ", PG , 5-10 / 170 ,598,127,9,0.8052,south-dakota,2009
Conrad Krutwig," Harry D Jacobs (Algonquin, IL)  ", PF , 6-6 / 210 ,620,165,30,0.7958,south-dakota,2009
Mitchell Bouie," Western Oklahoma State College (Altus, OK)  ", SG , 6-3 / 200 ,89,21,3,0.7667,south-dakota,2009
Kendall Cutler," Western Oklahoma State College (Altus, OK)  ", PG , 6-0 / 195 ,119,20,5,0.7667,south-dakota,2009
Jelani Johnson," Waubonsie Valley (Aurora, IL)  ", SG , 6-4 / 190 ,365,95,18,0.8524,western-illinois,2009
Jeremy Felton," Mineral Area C.C. (Park Hills, MO)  ", PF , 6-6 / 210 ,86,27,4,0.7667,western-illinois,2009
Matt Lander," John Logan College (Carterville, IL)  ", PG , 6-3 / 185 ,128,21,9,0.7667,western-illinois,2009
Ryan Kilmartin," Charlotte Catholic (Charlotte, NC)  ", SG , 6-4 / 200 ,NA,NA,NA,NA,appalachian-state,2009
Brandon Peterson," Erwin Sch (Birmingham, AL)  ", SF , 6-7 / 175 ,386,67,9,0.8491,arkansas-state,2009
Brandon Reed," Whitefield Academy (Mableton, GA)  ", SG , 6-3 / 180 ,464,114,31,0.8345,arkansas-state,2009
Adam Sterrenberg," Cabot (Cabot, AR)  ", PG , 6-3 / 180 ,487,93,4,0.8271,arkansas-state,2009
Justin Butler," Connors State College (Warner, OK)  ", PF , 6-7 / 230 ,76,23,2,0.7667,arkansas-state,2009
Kierre Greenwood," New Creations Christian School (Richmond, IN)  ", PG , 6-2 / 170 ,658,142,19,0.7667,coastal-carolina,2009
Devin Miller," Chicago Military Academy (Chicago, IL)  ", SG , 6-3 / 210 ,659,163,35,0.7667,coastal-carolina,2009
